iter	RMSE
0	17.81418458
1	16.80734908
2	15.91326567
3	15.09069926
4	14.36375365
5	13.72866037
6	13.17488353
7	12.65950083
8	12.20489108
9	11.80294999
10	11.44429964
11	11.14783523
12	10.87436923
13	10.63328864
14	10.43118783
15	10.2546316
16	10.09642029
17	9.955540242
18	9.827921024
19	9.720756515
20	9.625944226
21	9.541295328
22	9.470597357
23	9.406682841
24	9.350189346
25	9.302791782
26	9.257281245
27	9.220968297
28	9.183148966
29	9.150261533
30	9.122690037
31	9.09996743
32	9.078350274
33	9.060546695
34	9.044467195
35	9.029504927
36	9.016498472
37	9.0050638
38	8.995515073
39	8.985937627
40	8.977969005
41	8.970319216
42	8.961792444
43	8.955307673
44	8.949787943
45	8.947147101
46	8.942087191
47	8.937324031
48	8.93360891
49	8.931800562
50	8.928335098
51	8.925538624
52	8.921517794
53	8.918288657
54	8.914280981
55	8.912529079
56	8.909963801
57	8.908223241
58	8.906233485
59	8.905669704
60	8.903404932
61	8.900983008
62	8.900020556
63	8.898958277
64	8.89869505
65	8.897290557
66	8.896159287
67	8.895489528
68	8.894674915
69	8.893787708
70	8.893060906
71	8.892959718
72	8.8925426
73	8.891753269
74	8.8915566
75	8.891403372
76	8.89090577
77	8.890680853
78	8.889670867
79	8.889237873
80	8.888763379
81	8.888525175
82	8.88827047
83	8.887974237
84	8.887878005
85	8.887621304
86	8.887579885
87	8.887056477
88	8.886812229
89	8.886625485
90	8.886203978
91	8.88581113
92	8.88581113
93	8.885513084
94	8.885095856
95	8.884732844
96	8.884424763
97	8.88426212
98	8.884066022
99	8.884040183
100	8.883971663
101	8.883901859
102	8.88379211
103	8.883763749
104	8.88366114
105	8.883279731
106	8.883120342
107	8.882661413
108	8.882661413
109	8.882661413
110	8.88257659
111	8.882308104
112	8.88218163
113	8.882102077
114	8.881690434
115	8.881495552
116	8.881243446
117	8.881199904
118	8.881199904
119	8.881199309
120	8.881047875
121	8.880660579
122	8.88057641
123	8.880178166
124	8.87999675
125	8.87993797
126	8.879723221
127	8.879586673
128	8.879161403
129	8.878937551
130	8.878670209
131	8.878500861
132	8.877913054
133	8.877708972
134	8.877571514
135	8.876950369
136	8.876829933
137	8.876742634
138	8.87636035
139	8.875824576
140	8.875227412
141	8.874919637
142	8.874744412
143	8.874148687
144	8.873625258
145	8.873235483
146	8.872432992
147	8.871837392
148	8.871095827
149	8.870179903
150	8.869381775
151	8.868707693
152	8.868224463
153	8.867640197
154	8.866919568
155	8.866632225
156	8.865733908
157	8.86495488
158	8.864423196
159	8.863984951
160	8.863137127
161	8.86246705
162	8.861817082
163	8.861058614
164	8.86046925
165	8.859719055
166	8.859164664
167	8.858432
168	8.857866967
169	8.857316394
170	8.856776139
171	8.855922083
172	8.855218511
173	8.854641391
174	8.854056309
175	8.853588597
176	8.85310417
