iter	Passed	Remaining
0	103	103731
1	191	95585
2	298	99352
3	420	104618
4	498	99205
5	597	98919
6	687	97562
7	790	98078
8	890	98105
9	987	97792
10	1073	96555
11	1158	95388
12	1239	94076
13	1333	93925
14	1418	93173
15	1527	93962
16	1614	93357
17	1701	92835
18	1805	93234
19	1953	95731
20	2047	95472
21	2139	95097
22	2261	96048
23	2343	95291
24	2451	95596
25	2532	94853
26	2647	95397
27	2738	95054
28	2843	95196
29	2940	95079
30	3043	95119
31	3122	94446
32	3225	94514
33	3326	94509
34	3422	94358
35	3518	94211
36	3605	93848
37	3709	93912
38	3790	93398
39	3899	93583
40	4026	94170
41	4146	94588
42	4263	94885
43	4372	95009
44	4465	94771
45	4560	94588
46	4675	94801
47	4780	94806
48	4859	94318
49	4919	93472
50	5032	93648
51	5142	93754
52	5221	93303
53	5299	92843
54	5398	92759
55	5491	92573
56	5570	92164
57	5657	91888
58	5743	91605
59	5802	90913
60	5922	91160
61	6025	91166
62	6129	91158
63	6231	91135
64	6264	90116
65	6343	89769
66	6428	89524
67	6535	89568
68	6630	89459
69	6731	89432
70	6803	89026
71	6826	87992
72	6881	87390
73	6940	86853
74	6992	86237
75	7022	85374
76	7127	85432
77	7178	84850
78	7271	84774
79	7355	84588
80	7418	84163
81	7523	84231
82	7573	83673
83	7617	83066
84	7659	82454
85	7741	82279
86	7774	81584
87	7860	81466
88	7912	80989
89	7983	80722
90	8085	80764
91	8163	80568
92	8176	79742
93	8268	79693
94	8362	79665
95	8438	79462
96	8526	79372
97	8559	78782
98	8646	78692
99	8683	78153
100	8743	77826
101	8785	77349
102	8847	77048
103	8871	76431
104	8917	76009
105	9001	75920
106	9087	75845
107	9173	75766
108	9186	75094
109	9198	74427
110	9232	73941
111	9334	74007
112	9392	73729
113	9458	73512
114	9549	73488
115	9611	73249
116	9709	73277
117	9732	72748
118	9752	72202
119	9771	71660
120	9821	71351
121	9908	71312
122	10001	71309
123	10088	71270
124	10190	71335
125	10257	71149
126	10343	71104
127	10412	70934
128	10508	70952
129	10598	70927
130	10650	70650
131	10708	70416
132	10798	70396
133	10895	70415
134	10990	70418
135	11091	70464
136	11148	70226
137	11225	70116
138	11314	70086
139	11427	70196
140	11535	70273
141	11635	70305
142	11711	70188
143	11807	70186
144	11915	70261
145	12036	70407
146	12130	70392
147	12236	70443
148	12338	70470
149	12459	70606
150	12544	70532
151	12681	70748
152	12791	70812
153	12916	70954
154	13011	70932
155	13117	70968
156	13223	71005
157	13335	71067
158	13442	71100
159	13550	71140
160	13669	71235
161	13770	71230
162	13886	71308
163	13996	71345
164	14143	71576
165	14287	71784
166	14434	72000
167	14556	72090
168	14683	72200
169	14802	72272
170	14893	72203
171	15016	72290
172	15128	72320
173	15232	72312
174	15335	72296
175	15474	72448
176	15595	72513
177	15701	72510
178	15830	72606
179	15943	72629
180	16053	72641
181	16160	72634
182	16274	72656
183	16379	72640
184	16484	72619
185	16566	72501
186	16673	72488
187	16793	72534
188	16915	72583
189	17041	72651
190	17128	72549
191	17225	72492
192	17349	72545
193	17462	72549
194	17571	72539
195	17679	72521
196	17785	72496
197	17898	72497
198	18023	72544
199	18158	72634
200	18247	72535
201	18356	72518
202	18486	72579
203	18589	72537
204	18691	72484
205	18797	72452
206	18902	72415
207	19023	72434
208	19140	72441
209	19249	72414
210	19367	72421
211	19446	72284
212	19545	72217
213	19631	72103
214	19760	72147
215	19858	72079
216	19973	72071
217	20058	71952
218	20183	71978
219	20283	71913
220	20389	71871
221	20497	71833
222	20561	71642
223	20673	71618
224	20779	71572
225	20868	71469
226	20990	71479
227	21089	71409
228	21142	71182
229	21241	71112
230	21318	70970
231	21435	70959
232	21546	70926
233	21658	70897
234	21761	70840
235	21861	70772
236	21972	70739
237	22088	70721
238	22209	70718
239	22294	70600
240	22404	70561
241	22474	70393
242	22600	70405
243	22735	70442
244	22856	70434
245	22943	70322
246	23089	70390
247	23212	70386
248	23332	70370
249	23437	70313
250	23573	70344
251	23682	70296
252	23804	70284
253	23919	70252
254	23996	70106
255	24099	70039
256	24227	70042
257	24314	69928
258	24424	69878
259	24513	69768
260	24603	69663
261	24727	69651
262	24834	69591
263	24942	69537
264	25038	69445
265	25117	69309
266	25219	69235
267	25338	69207
268	25453	69169
269	25554	69090
270	25651	69004
271	25745	68907
272	25832	68793
273	25897	68619
274	26008	68567
275	26086	68429
276	26185	68345
277	26304	68314
278	26404	68234
279	26459	68038
280	26540	67910
281	26670	67904
282	26764	67810
283	26845	67679
284	26965	67650
285	27062	67561
286	27187	67541
287	27315	67529
288	27436	67499
289	27528	67398
290	27655	67379
291	27760	67310
292	27852	67206
293	27915	67034
294	28043	67019
295	28147	66945
296	28261	66895
297	28390	66879
298	28493	66802
299	28607	66749
300	28735	66730
301	28861	66706
302	28960	66618
303	29097	66616
304	29232	66612
305	29337	66536
306	29440	66456
307	29530	66348
308	29599	66191
309	29685	66073
310	29802	66024
311	29939	66020
312	30052	65961
313	30125	65815
314	30268	65821
315	30397	65796
316	30531	65781
317	30617	65664
318	30727	65597
319	30821	65495
320	30915	65393
321	31044	65366
322	31170	65332
323	31279	65262
324	31401	65218
325	31496	65117
326	31594	65024
327	31696	64940
328	31803	64864
329	31915	64798
330	31997	64672
331	32087	64562
332	32209	64516
333	32306	64420
334	32433	64383
335	32552	64329
336	32677	64287
337	32799	64240
338	32882	64115
339	33040	64137
340	33186	64135
341	33344	64153
342	33514	64194
343	33825	64503
344	34115	64770
345	34284	64804
346	34451	64832
347	34638	64897
348	34880	65063
349	34986	64975
350	35105	64910
351	35354	65084
352	35461	64996
353	35563	64897
354	35789	65025
355	35902	64947
356	35990	64823
357	36100	64738
358	36182	64603
359	36268	64477
360	36358	64358
361	36450	64241
362	36544	64129
363	36648	64034
364	36746	63928
365	36837	63811
366	36947	63726
367	37024	63585
368	37094	63432
369	37210	63357
370	37306	63250
371	37397	63132
372	37504	63044
373	37581	62904
374	37690	62816
375	37803	62738
376	37891	62616
377	38004	62535
378	38107	62440
379	38209	62341
380	38326	62268
381	38422	62159
382	38533	62075
383	38653	62006
384	38736	61877
385	38837	61778
386	38958	61709
387	39064	61617
388	39198	61568
389	39313	61490
390	39430	61414
391	39562	61362
392	39668	61269
393	39784	61191
394	39883	61086
395	40011	61026
396	40163	61003
397	40294	60947
398	40408	60866
399	40517	60776
400	40614	60668
401	40743	60608
402	40870	60545
403	40981	60457
404	41091	60368
405	41208	60290
406	41349	60246
407	41483	60191
408	41575	60076
409	41682	59981
410	41781	59876
411	41928	59839
412	42067	59791
413	42167	59686
414	42258	59569
415	42512	59680
416	42605	59566
417	42729	59494
418	42820	59376
419	42953	59316
420	43061	59222
421	43157	59111
422	43273	59028
423	43384	58937
424	43470	58812
425	43563	58698
426	43759	58722
427	43879	58642
428	44160	58778
429	44273	58688
430	44417	58639
431	44628	58677
432	44829	58703
