iter	RMSE
0	0.3968365021
1	0.39425826
2	0.3919092388
3	0.3891867839
4	0.3867413788
5	0.3841043047
6	0.3816537832
7	0.3791898197
8	0.3767743162
9	0.3744377492
10	0.37194471
11	0.3697014864
12	0.367379902
13	0.3653271131
14	0.3630411774
15	0.3607033769
16	0.3584299039
17	0.3563174077
18	0.3540091485
19	0.3517119769
20	0.3496251426
21	0.347434793
22	0.3452696043
23	0.3432895574
24	0.3413050217
25	0.339257206
26	0.3372576534
27	0.3353380782
28	0.3334356249
29	0.3316089322
30	0.3295159516
31	0.3275748719
32	0.3256427968
33	0.3236740567
34	0.3217862254
35	0.3200151572
36	0.318520055
37	0.3168711416
38	0.3151152883
39	0.3133156071
40	0.3114912458
41	0.3097363007
42	0.3080704094
43	0.3062881543
44	0.304506784
45	0.3030031492
46	0.301438632
47	0.2998225354
48	0.2982687371
49	0.2966995622
50	0.2951589433
51	0.2936927761
52	0.2921238314
53	0.2905315888
54	0.2890049955
55	0.2875870216
56	0.2860130095
57	0.2846107172
58	0.2830604392
59	0.2817219373
60	0.2802626675
61	0.2787380425
62	0.2773975073
63	0.2759877514
64	0.2745670495
65	0.2731856264
66	0.2717303411
67	0.2703752694
68	0.2691112527
69	0.2677974801
70	0.266432408
71	0.2651389835
72	0.263920103
73	0.2626090787
74	0.2613692939
75	0.2601802707
76	0.2590927066
77	0.2579165414
78	0.2566523612
79	0.2553587722
80	0.2542600373
81	0.2531055906
82	0.2519710183
83	0.2508250417
84	0.2498282775
85	0.2486058148
86	0.2474486608
87	0.2463656199
88	0.245287358
89	0.2441641092
90	0.2431705782
91	0.2420405445
92	0.2409163022
93	0.2398445598
94	0.2388008755
95	0.2376881911
96	0.2366620301
97	0.2355898705
98	0.2345424897
99	0.2334591402
100	0.2325831376
101	0.2316022165
102	0.2305985733
103	0.2295892807
104	0.2286410383
105	0.2276836942
106	0.226807691
107	0.2259511333
108	0.2249291066
109	0.224035141
110	0.2232268266
111	0.2222938277
112	0.2213952467
113	0.220642794
114	0.2197635066
115	0.2189372498
116	0.2181181247
117	0.2172412206
118	0.2164611911
119	0.2156735165
120	0.2148786938
121	0.2140507876
122	0.21321321
123	0.2124053724
124	0.2116542354
125	0.2109527911
126	0.2101851443
127	0.2094723713
128	0.2087532431
129	0.208001889
130	0.2072104932
131	0.2063751277
132	0.2056901188
133	0.2049716011
134	0.2042427907
135	0.2036160149
136	0.2029550391
137	0.2022187701
138	0.2014847292
139	0.2007925555
140	0.2001487107
141	0.1994893174
142	0.1988294981
143	0.1981347301
144	0.1975267306
145	0.1969044583
146	0.1962328299
147	0.1955595627
148	0.1949625515
149	0.1943029371
150	0.1936997205
151	0.1930896165
152	0.1924889607
153	0.1918338498
154	0.1912198531
155	0.190661625
156	0.1900665844
157	0.1894334351
158	0.1888333155
159	0.1882048719
160	0.1876118465
161	0.1870399601
162	0.1864544577
163	0.1858721577
164	0.1853233541
165	0.1847631954
166	0.1842250096
167	0.1837132276
168	0.1832179383
169	0.1826865773
170	0.1821617313
171	0.1815978299
172	0.1810679218
173	0.1805447223
174	0.1801063867
175	0.1795856299
176	0.1790775802
177	0.1786029451
178	0.1781263797
179	0.1776444724
180	0.1771346498
181	0.1766754611
182	0.1762146215
183	0.1757980513
184	0.1753802224
185	0.1749166869
186	0.174488338
187	0.1740089125
188	0.1735751893
189	0.173140099
190	0.1726740406
191	0.1722085654
192	0.1717415947
193	0.1713079125
194	0.1708531565
195	0.1704884215
196	0.1700632075
197	0.169657214
198	0.1692480594
199	0.1687667871
200	0.1683494939
201	0.1679004405
202	0.1675047613
203	0.1671483261
204	0.1668079118
205	0.1663914367
206	0.1659634479
207	0.1656292176
208	0.1652626088
209	0.1648349279
210	0.1645304295
211	0.1641567958
212	0.1637801598
213	0.1633557681
214	0.1629963653
215	0.1626572946
216	0.1623331267
217	0.1619990214
218	0.1616536896
219	0.1612820478
220	0.160949113
221	0.1606004461
222	0.1603082939
223	0.1600008639
224	0.1596534203
225	0.1593606974
226	0.1590204758
227	0.1587006186
228	0.1584108928
229	0.1581484928
230	0.1578145794
231	0.1574508392
232	0.1571616822
233	0.1568762027
234	0.1565519839
235	0.1562815943
236	0.1559402394
237	0.1556356424
238	0.1553659548
239	0.155079041
240	0.1548010311
241	0.1544841386
242	0.1542379335
243	0.153928564
244	0.1536821504
245	0.153410828
246	0.1531089664
247	0.1528432819
248	0.1525717313
249	0.1522952749
250	0.1520539944
251	0.1517861864
252	0.1515459141
253	0.1512932833
254	0.1510440937
255	0.1508342136
256	0.1505770893
257	0.15032732
258	0.1500542114
259	0.1497810137
260	0.1495048022
261	0.1492265618
262	0.1489764605
263	0.1487393619
264	0.1484944084
265	0.1482487732
266	0.1480422039
267	0.1478009678
268	0.1475630928
269	0.1473011223
270	0.1470710781
271	0.1468189824
272	0.1465848428
273	0.1463630387
274	0.1461122128
275	0.1459469389
276	0.1457116947
277	0.1454807931
278	0.1452462512
279	0.1450207825
280	0.1448187166
281	0.1445841995
282	0.1443652923
283	0.1441897857
284	0.1439840926
285	0.1437893653
286	0.1435761081
287	0.1433778374
288	0.1431784302
289	0.1430043827
290	0.1427906458
291	0.1425748187
292	0.1423678527
293	0.1421611828
294	0.1419708072
295	0.1417849239
296	0.141594129
297	0.1414161167
298	0.1411945844
299	0.1410011566
300	0.1408012049
301	0.140627047
302	0.1404172466
303	0.1402128203
304	0.1400196973
305	0.1398367909
306	0.1396781648
307	0.1394979892
308	0.139347489
309	0.139184943
310	0.1389932346
311	0.1388275603
312	0.1386550204
313	0.1384474015
314	0.1382858721
315	0.1381265519
316	0.1379654848
317	0.1377836187
318	0.1375845415
319	0.137448488
320	0.1372546943
321	0.1371113767
322	0.1369563551
323	0.1367805958
324	0.1366203368
325	0.1364442554
326	0.1363078009
327	0.1361394152
328	0.1359878405
329	0.1357976873
330	0.1356070191
331	0.1354295927
332	0.1353072132
333	0.135148474
334	0.1350112313
335	0.134873662
336	0.1346925605
337	0.1344991436
338	0.1343308623
339	0.1341886691
340	0.1340704497
341	0.1339578724
342	0.1338265148
343	0.1336832628
344	0.1335371157
345	0.1333858378
346	0.1332365249
347	0.133076148
348	0.1329344472
349	0.1328215146
350	0.1326908252
351	0.132557904
352	0.1324343693
353	0.1323259859
354	0.1322053791
355	0.1320718027
356	0.1319623165
357	0.1318170614
358	0.1316803985
359	0.1315203767
360	0.131393834
361	0.1312358693
362	0.1311250851
363	0.1309854966
364	0.1308573391
365	0.130730628
366	0.130615985
367	0.1305127933
368	0.130372658
369	0.1302260941
370	0.1300983718
371	0.1299631687
372	0.1298514361
373	0.1297287408
374	0.1296245892
375	0.129505065
376	0.1293907858
377	0.1292711899
378	0.1291385436
379	0.1290247496
380	0.128884526
381	0.1287570589
382	0.1286021716
383	0.1284669661
384	0.1283188592
385	0.1281976103
386	0.1280581918
387	0.1279317246
388	0.1278214613
389	0.127727962
390	0.1275728027
391	0.1274641157
392	0.1273185848
393	0.1272033219
