iter	Logloss
0	0.6274219783
1	0.5734026848
2	0.5233820413
3	0.4810974976
4	0.4450703852
5	0.4165844403
6	0.3935018635
7	0.3696802174
8	0.3536172439
9	0.3361694026
10	0.3218973662
11	0.3104028247
12	0.3001073786
13	0.289943195
14	0.2812894554
15	0.2753602479
16	0.2690588602
17	0.2641089095
18	0.2594177811
19	0.2541840969
20	0.2492784741
21	0.24585861
22	0.2420254261
23	0.2392515503
24	0.2360958224
25	0.2339503813
26	0.2318833267
27	0.229769713
28	0.2274203888
29	0.2258248007
30	0.2242738393
31	0.2222872964
32	0.220877058
33	0.2197293094
34	0.2184446118
35	0.2171956724
36	0.2156398375
37	0.2147529414
38	0.2134459791
39	0.2124950089
40	0.2117809503
41	0.210956338
42	0.2100704778
43	0.2095640932
44	0.2089252376
45	0.208316699
46	0.2075748402
47	0.2068836518
48	0.2061488749
49	0.205688385
50	0.2052522068
51	0.2049041721
52	0.2044032586
53	0.204034843
54	0.2037426944
55	0.2031780582
56	0.2025682423
57	0.2022541151
58	0.2016962841
59	0.2013034692
60	0.2010708784
61	0.2008013646
62	0.2004812647
63	0.2001470726
64	0.1997808012
65	0.1995007621
66	0.1992870658
67	0.199005842
68	0.1988164825
69	0.1986287735
70	0.1983890589
71	0.197988845
72	0.1978155901
73	0.1975975524
74	0.1972887858
75	0.1970668051
76	0.1967530125
77	0.1965945946
78	0.1963063362
79	0.1961682196
80	0.1960206503
81	0.1958545228
82	0.1956684076
83	0.1954574971
84	0.1952052894
85	0.1950428702
86	0.1949027255
87	0.1947438105
88	0.1945283325
89	0.1943540305
90	0.1941603569
91	0.1939761842
92	0.1938367803
93	0.1937005787
94	0.1935717841
95	0.1934557194
96	0.1933449232
97	0.1932148697
98	0.1930207294
99	0.1929040122
100	0.1927790618
101	0.1926290974
102	0.192533903
103	0.1923926325
104	0.1922785029
105	0.1921275487
106	0.1920112296
107	0.1919085059
108	0.1918296337
109	0.1916807392
110	0.1915797937
111	0.1914781996
112	0.1914020336
113	0.1913164403
114	0.1912423771
115	0.191147225
116	0.1910485396
117	0.1909675618
118	0.1908861855
119	0.1907851093
120	0.1907156888
121	0.1906009292
122	0.1905159659
123	0.1904192687
124	0.1903562977
125	0.1902548246
126	0.1901859142
127	0.1900819006
128	0.1900015688
129	0.1898866316
