iter	Passed	Remaining
0	73	36597
1	83	20777
2	94	15685
3	108	13456
4	122	12154
5	135	11120
6	147	10393
7	159	9828
8	171	9378
9	221	10839
10	259	11557
11	274	11182
12	299	11231
13	330	11478
14	346	11214
15	359	10864
16	369	10485
17	380	10178
18	391	9922
19	406	9746
20	419	9563
21	431	9385
22	443	9205
23	456	9051
24	469	8916
25	540	9850
26	557	9759
27	570	9623
28	601	9766
29	617	9666
30	630	9544
31	644	9429
32	654	9260
33	664	9105
34	673	8944
35	682	8800
36	692	8660
37	701	8526
38	710	8402
39	719	8274
40	728	8158
41	738	8049
42	747	7940
43	756	7841
44	766	7745
45	775	7655
46	785	7569
47	795	7488
48	804	7408
49	814	7331
50	824	7254
51	833	7178
52	842	7104
53	851	7034
54	860	6964
55	870	6903
56	879	6836
57	889	6778
58	899	6723
59	909	6669
60	919	6614
61	928	6558
62	937	6503
63	946	6450
64	956	6401
65	965	6348
66	974	6299
67	983	6250
68	993	6202
69	1002	6155
70	1011	6112
71	1021	6069
72	1029	6023
73	1039	5981
74	1048	5941
75	1057	5898
76	1066	5861
77	1075	5821
78	1085	5783
79	1094	5746
80	1104	5711
81	1113	5678
82	1123	5643
83	1132	5608
84	1141	5574
85	1152	5547
86	1161	5512
87	1171	5483
88	1180	5453
89	1190	5422
90	1199	5391
91	1208	5361
92	1218	5333
93	1229	5310
94	1241	5292
95	1253	5273
96	1264	5251
97	1276	5234
98	1288	5219
99	1302	5208
100	1314	5194
101	1328	5182
102	1338	5158
103	1348	5135
104	1360	5118
105	1381	5135
106	1397	5132
107	1410	5120
108	1428	5125
109	1442	5115
110	1532	5370
111	1548	5363
112	1580	5411
113	1604	5434
114	1625	5441
115	1642	5436
116	1658	5430
117	1676	5425
118	1690	5410
119	1703	5394
120	1716	5377
121	1733	5370
122	1791	5492
123	1829	5546
124	1849	5548
125	1886	5598
126	1911	5613
127	1942	5644
128	1966	5655
129	1981	5638
130	1995	5619
131	2008	5599
132	2019	5573
133	2029	5543
134	2042	5521
135	2054	5497
136	2065	5473
137	2077	5448
138	2134	5542
